1AP_nano;1AS_nano;1BP_nano;1BS_nano;1CP_nano;1CS_nano;2AP_nano;2AS_nano;2BP_nano;2BS_nano;2CP_nano;2CS_nano;3AP_nano;3AS_nano;3BP_nano;3BS_nano;3CP_nano;3CS_nano;4AP_nano;4AS_nano;4BP_nano;4BS_nano;4CP_nano;4CS_nano;5AP_nano;5AS_nano;5BP_nano;5BS_nano;5CP_nano;5CS_nano;6AP_nano;6AS_nano;6BP_nano;6BS_nano;6CP_nano;6CS_nano;7AP_nano;7AS_nano;7BP_nano;7BS_nano;7CP_nano;7CS_nano;8AP_nano;8AS_nano;8BP_nano;8BS_nano;8CP_nano;8CS_nano;9AP_nano;9AS_nano;9BP_nano;9BS_nano;9CP_nano;9CS_nano
4;13;3;5;2;5;8;4;3;8;3;2;5;3;6;3;3;6;3;6;1;8;2;5;4;15;7;10;2;14;29;7;3;18;8;19;2;7;12;12;11;8;5;8;8;10;5;10;2;7;13;9;0;13
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;5;1;2;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;1
0;1;6;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;2;0;0;1;1;2;8;1;1;2;1;0;1;1;0;0;0;2;2;0;0;2;0;1;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
0;1;1;0;0;4;0;1;0;2;1;0;0;1;2;0;0;0;1;1;0;0;0;0;0;8;10;2;2;1;0;9;1;2;0;0;2;6;0;0;2;5;3;0;1;0;0;0;0;1;0;1;0;0
0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
0;1;0;0;0;0;0;1;0;0;3;0;0;3;0;1;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3247;2327;2838;2124;1923;1275;3116;2256;2388;2027;3722;1813;3135;2295;2100;1933;2041;2681;1817;3377;1705;1859;2213;19;5566;5679;6768;2294;7710;7686;3410;6356;3620;3879;8017;3354;4603;3261;6767;2873;7182;3269;2383;2828;2830;8692;4763;4457;2292;935;4939;5402;439;4055
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2314;1214;2166;1171;1181;631;2256;1028;1576;801;2402;980;2177;975;1435;685;1331;1006;1273;1899;1486;993;2055;1;4919;2496;5993;1269;6532;3221;3533;2965;3194;1956;6413;2254;4104;2142;5811;1677;6056;2043;2866;1753;2990;3321;5369;1858;2125;535;5764;1857;525;2025
